SR,CR,MD,EPE,Smooth,ST,scenario,method,episode
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,0
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,1
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,2
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,3
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,4
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,5
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,6
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,7
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,8
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,9
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,10
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,11
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,12
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,13
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,14
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,15
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,16
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,17
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,18
0.6,0.35,0.18,0.45,0.61,0.09,Dense-Static,R0,19
0.6876405234596765,0.2740015720836722,0.2197873798410574,0.44240893199201464,0.6586755799014997,0.11022722120123589,Dense-Static,R1,0
0.6862434536366323,0.26388243586349924,0.20471828247736543,0.4092703137784383,0.6486540762932468,0.09698461303119717,Dense-Static,R1,1
0.6658324215259452,0.2694373317277367,0.18863803904331544,0.4364027080840499,0.6220656441480514,0.11158252634343796,Dense-Static,R1,2
0.6878862847343031,0.27436509850511986,0.2109649746807201,0.40136507296635515,0.6372261179748561,0.11645241020731013,Dense-Static,R1,3
0.6705056170714293,0.27499951333237826,0.20004091068893134,0.42693598508291314,0.6358169847997309,0.10415422764887876,Dense-Static,R1,4
0.6744122748688504,0.2666912984810591,0.2343077118700778,0.4174790787039693,0.6410960984157819,0.13582481117061562,Dense-Static,R1,5
0.6668821632651247,0.277290039236125,0.21217820788076,0.41100908203452863,0.6151321934837214,0.12913251521235888,Dense-Static,R1,6
0.6869052570380035,0.26534062629459165,0.21032820163678584,0.4240751628299651,0.6321107697137426,0.12002065572905948,Dense-Static,R1,7
0.6709120471661981,0.2809128273327211,0.19053029690977452,0.4061365046776306,0.6170350842579784,0.1440983430334154,Dense-Static,R1,8
0.6700110855471221,0.267104559307498,0.19883933696935585,0.4198711724325421,0.6362163853579208,0.11518864637123095,Dense-Static,R1,9
0.6833158650412952,0.27715278974398405,0.1945459970788873,0.4199161615007148,0.6462133597389048,0.11279914439281102,Dense-Static,R1,10
0.6874945474130517,0.267139270031837,0.20515434867778856,0.39346681440738523,0.6399171537062707,0.11680368636235701,Dense-Static,R1,11
0.6747298583148997,0.2631857412056055,0.21242439496690477,0.40299264365961673,0.6475314283394921,0.10465278659791956,Dense-Static,R1,12
0.662876093379494,0.277537663786597,0.20955496921661945,0.4245181233874579,0.6534510170845101,0.12532337888294545,Dense-Static,R1,13
0.6855133911125305,0.2707918602460882,0.2117397652845617,0.4192766343383383,0.6199567059982781,0.12144677813190316,Dense-Static,R1,14
0.6668767151845645,0.2733928470604618,0.20844091466117287,0.41498210326702256,0.6423556889172602,0.1023639474319579,Dense-Static,R1,15
0.6712794872113393,0.2547152654117411,0.2040553201999536,0.42066330373745925,0.6276450512675936,0.11378631391537317,Dense-Static,R1,16
0.6727626589002131,0.25145371921193493,0.21623901111326355,0.43145311289572097,0.6503719046822788,0.13886638929781608,Dense-Static,R1,17
0.670794284438062,0.2919020235741422,0.2086510785339173,0.4216051798245487,0.6444269784320408,0.12623391440861612,Dense-Static,R1,18
0.6722100326268214,0.26659534991021616,0.20422251458019477,0.4159596844494578,0.6339671057306289,0.11756147721394482,Dense-Static,R1,19
0.7676405234596766,0.20400157208367226,0.2697873798410574,0.4024089319920146,0.7286755799014997,0.14022722120123587,Dense-Static,R2,0
0.7662434536366324,0.19388243586349924,0.25471828247736544,0.3692703137784383,0.7186540762932467,0.12698461303119718,Dense-Static,R2,1
0.7458324215259453,0.1994373317277367,0.23863803904331546,0.39640270808404987,0.6920656441480514,0.14158252634343796,Dense-Static,R2,2
0.7678862847343032,0.2043650985051199,0.2609649746807201,0.3613650729663551,0.707226117974856,0.14645241020731012,Dense-Static,R2,3
0.7505056170714294,0.2049995133323783,0.25004091068893136,0.3869359850829131,0.7058169847997309,0.13415422764887874,Dense-Static,R2,4
0.7544122748688504,0.1966912984810591,0.2843077118700778,0.37747907870396924,0.7110960984157818,0.16582481117061562,Dense-Static,R2,5
0.7468821632651248,0.20729003923612505,0.26217820788076,0.3710090820345286,0.6851321934837213,0.15913251521235888,Dense-Static,R2,6
0.7669052570380036,0.19534062629459165,0.2603282016367858,0.38407516282996507,0.7021107697137425,0.15002065572905948,Dense-Static,R2,7
0.7509120471661982,0.2109128273327211,0.24053029690977454,0.3661365046776306,0.6870350842579783,0.1740983430334154,Dense-Static,R2,8
0.7500110855471221,0.19710455930749798,0.24883933696935587,0.37987117243254204,0.7062163853579208,0.14518864637123097,Dense-Static,R2,9
0.7633158650412952,0.20715278974398404,0.24454599707888733,0.3799161615007148,0.7162133597389048,0.14279914439281102,Dense-Static,R2,10
0.7674945474130518,0.19713927003183707,0.2551543486777886,0.3534668144073852,0.7099171537062706,0.14680368636235702,Dense-Static,R2,11
0.7547298583148998,0.19318574120560555,0.2624243949669048,0.3629926436596167,0.717531428339492,0.13465278659791954,Dense-Static,R2,12
0.7428760933794941,0.20753766378659705,0.25955496921661947,0.3845181233874579,0.7234510170845101,0.15532337888294545,Dense-Static,R2,13
0.7655133911125306,0.2007918602460882,0.2617397652845617,0.37927663433833825,0.6899567059982781,0.15144677813190316,Dense-Static,R2,14
